Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
BJ's Restaurant and Brewery,Temple,Texas,UNITED STATES,1978,Y,N
Petrópolis,['null'],['null'],['null'],1994,['null'],['null']
Territorial Brewing Company,Springfield,Michigan,UNITED STATES,2014,Y,N
Breckenridge Brewery,Grand Junction,Colorado,UNITED STATES,1990,Y,N
The Beer Diviner,Stephentown,New York,UNITED STATES,2012,Y,N
The Bold Mariner Brewing Company,Norfolk,Virginia,UNITED STATES,2015,Y,N
Carrollwood Brewing Company,Tampa,Florida,UNITED STATES,2015,Y,N
The Brewer's Cabinet,Reno,Nevada,UNITED STATES,2012,Y,N
North Peak Brewing Company,Traverse City,Michigan,UNITED STATES,2009,Y,N
Home of the Brave Brewing Co.,Honolulu,Hawaii,UNITED STATES,2009,Y,N
Doolally,South Pune,Pune,INDIA,2006,Y,N
Aspall Cyder,Debenham,Suffolk,UNITED KINGDOM,1728,Y,N
The Filling Station Microbrewery,Traverse City,Michigan,UNITED STATES,2012,Y,N
The Good Liquid Brewing Company,Bradenton,Florida,UNITED STATES,2017,Y,N
The Grain Shed,Spokane,Washington,UNITED STATES,2018,Y,N
The Granary 'Cue & Brew,San Antonio,Texas,UNITED STATES,2012,Y,N
New Holland Brewing Company,Grand Rapids,Michigan,UNITED STATES,1996,Y,N
The Knuckle Brewing Company,Sturgis,South Dakota,UNITED STATES,2014,Y,N
Bad Lab Beer Co.,Somersworth,New Hampshire,UNITED STATES,2016,Y,N
902 Brewing Company,Hoboken,New Jersey,UNITED STATES,2012,Y,N
192 Brewing Company,Kenmore,Washington,UNITED STATES,2009,Y,N
Lookout Farms Brewing & Cider Co.,South Natick,Maine,UNITED STATES,2015,Y,N
Great Deep Brewing Co / The Mermaid Tavern & Grille,['null'],['null'],['null'],2007,['null'],['null']
The Mitten Brewing Co,Northport,MI,UNITED STATES,2012,Y,N
Old Bakery Beer Company,Alton,Illinois,UNITED STATES,2014,Y,N
The Old Mine,Erie,Colorado,UNITED STATES,2013,Y,N
Arbor Ales,Bristol,['null'],['null'],2007,['null'],['null']
The Olde Mecklenburg Brewery,Charlotte,North Carolina,UNITED STATES,2009,Y,N
Seven Stills Brewery and Distillery,San Francisco,California,UNITED STATES,2012,Y,Y
The Peoples Cider Company,Grand Rapids,Michigan,UNITED STATES,2011,Y,N
Ravinia Brewing Company,Highland Park,Illinois,UNITED STATES,2017,Y,N
The Tap Brewery,Indianapolis,Indiana,UNITED STATES,2014,Y,N
Hoppin' Frog Brewery,Akron,Ohio,UNITED STATES,2006,Y,N
Arbor Ales,Bristol,['null'],['null'],2007,['null'],['null']
Third Colony Brewery,Manchester,New Hampshire,UNITED STATES,2013,Y,N
Third Street Brewhouse,Cold Spring,Minnesota,UNITED STATES,2012,Y,N
Thirst Class Ale,Reddish,Stockport,UNITED KINGDOM,2014,Y,N
Thirsty Monk Brewery,Denver,Colorado,UNITED STATES,2012,Y,N
